"id","partner_id/id","icao","iata","elevation","aerodrome_type"
"aerodrome_01NM","partner_01NM","01NM","","3630","small_airport"
"aerodrome_01NV","partner_01NV","01NV","","4600","small_airport"
"aerodrome_01NY","partner_01NY","01NY","","100","closed"
"aerodrome_01OI","partner_01OI","01OI","","1140","heliport"
"aerodrome_01OK","partner_01OK","01OK","","1525","closed"
"aerodrome_01OR","partner_01OR","01OR","","4346","closed"
"aerodrome_01PA","partner_01PA","01PA","","1215","closed"
"aerodrome_01PN","partner_01PN","01PN","","960","small_airport"
"aerodrome_01PS","partner_01PS","01PS","","1040","small_airport"
"aerodrome_01SC","partner_01SC","01SC","","779","small_airport"
"aerodrome_01TA","partner_01TA","01TA","","630","heliport"
"aerodrome_01TE","partner_01TE","01TE","","505","small_airport"
"aerodrome_01TN","partner_01TN","01TN","","370","small_airport"
"aerodrome_01TS","partner_01TS","01TS","","675","closed"
"aerodrome_01TX","partner_01TX","01TX","","610","small_airport"
"aerodrome_01U","partner_01U","01U","","5124","small_airport"
"aerodrome_01UT","partner_01UT","01UT","","6000","small_airport"
"aerodrome_01VA","partner_01VA","01VA","","500","small_airport"
"aerodrome_01WA","partner_01WA","01WA","","154","heliport"
"aerodrome_01WI","partner_01WI","01WI","","930","small_airport"
"aerodrome_01WN","partner_01WN","01WN","","103","heliport"
"aerodrome_01WT","partner_01WT","01WT","","20","heliport"
"aerodrome_01WY","partner_01WY","01WY","","4250","small_airport"
"aerodrome_01XA","partner_01XA","01XA","","715","heliport"
"aerodrome_01XS","partner_01XS","01XS","","500","heliport"
"aerodrome_02AK","partner_02AK","02AK","","190","small_airport"
"aerodrome_02AL","partner_02AL","02AL","","61","small_airport"
"aerodrome_02AR","partner_02AR","02AR","","264","closed"
"aerodrome_02AZ","partner_02AZ","02AZ","","4200","closed"
"aerodrome_02CA","partner_02CA","02CA","","122","heliport"
"aerodrome_02CD","partner_02CD","02CD","","165","small_airport"
"aerodrome_02CL","partner_02CL","02CL","","5160","small_airport"
"aerodrome_02CO","partner_02CO","02CO","","7615","small_airport"
"aerodrome_02CT","partner_02CT","02CT","","540","heliport"
"aerodrome_02FA","partner_02FA","02FA","","121","small_airport"
"aerodrome_02FL","partner_02FL","02FL","","215","closed"
"aerodrome_02GA","partner_02GA","02GA","","884","small_airport"
