"id","name","city","country_id/id"
"partner_YFFT","Farrell Flat Airport","","base.au"
"partner_YFHO","Fairfield Hospital Helipad","Fairfield","base.au"
"partner_YFIL","Finley Airport","","base.au"
"partner_YFLI","Flinders Island Airport","Flinders Island","base.au"
"partner_YFLO","Flora Valley Airport","","base.au"
"partner_YFLS","Flinders Island Airport","","base.au"
"partner_YFNE","Finke Airport","Finke","base.au"
"partner_YFOR","Fortnum Airport","","base.au"
"partner_YFRD","Frome Downs Airport","","base.au"
"partner_YFRG","Fregon Airport","","base.au"
"partner_YFRI","Friendly Beaches Airport","","base.au"
"partner_YFRK","Frankland Airport","Frankland River Grazing co","base.au"
"partner_YFRT","Forrest Airport","","base.au"
"partner_YFRV","Oombulgurri Airport","Forrest River Mission","base.au"
"partner_YFSA","Forsayth Airport","","base.au"
"partner_YFSK","Fiskville Airport","Fiskville","base.au"
"partner_YFST","Forster (Wallis Is) Airport","","base.au"
"partner_YFTA","Forrestania Airport","","base.au"
"partner_YFTN","Mount Fitton Talc Airport","","base.au"
"partner_YFTZ","Fitzroy Crossing Airport","","base.au"
"partner_YFVW","Fairview Airport","","base.au"
"partner_YFWY","Faraway Bay Airport","","base.au"
"partner_YGAD","Garden Island (Military) Airport","","base.au"
"partner_YGAH","Greenbah Airport","","base.au"
"partner_YGAM","Gamboola Airport","","base.au"
"partner_YGAN","Gan Gan Airport","","base.au"
"partner_YGAR","Gnaraloo Station Airport","","base.au"
"partner_YGAT","Gatton Campus Airport","Gatton","base.au"
"partner_YGAW","Gawler Airport","","base.au"
"partner_YGAY","Gayndah Airport","","base.au"
"partner_YGBI","South Goulburn Is Airport","","base.au"
"partner_YGBO","Gabo Island Airport","","base.au"
"partner_YGBW","Gunbower Airport","","base.au"
"partner_YGCL","Gold Coast Life Saver Base","Carrara Gold Coast","base.au"
"partner_YGCR","Gloucester Airport","","base.au"
"partner_YGDA","Goodooga Airport","","base.au"
"partner_YGDH","Gunnedah Airport","","base.au"
"partner_YGDI","Goondiwindi Airport","","base.au"
"partner_YGDN","Gordon Downs Airport","Gordon Downs","base.au"
"partner_YGDO","Gundaroo Airport","","base.au"
"partner_YGDR","The Garden Airport","","base.au"
"partner_YGDS","Gregory Downs Airport","","base.au"
"partner_YGDV","Galdeville Airport","","base.au"
"partner_YGDW","Granite Downs Airport","","base.au"
"partner_YGE","Gorge Harbour Seaplane Base","Gorge Harbour","base.ca"
"partner_YGEL","Geraldton Airport","Geraldton","base.au"
